,address,city,area,rooms,bathrooms,garage,amenites,price_rent,condo,crawled_at
5414,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5415,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5416,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5417,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5418,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5419,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5420,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5421,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5422,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5423,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5424,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5425,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5426,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5427,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5428,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5429,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5430,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5431,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5432,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5433,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5434,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5435,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5436,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5437,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5438,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5439,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5440,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5441,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5442,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5443,"Rua Antônio Targino Pessoa da Silveira - Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5444,"Rua Francisco Moura - Treze de Maio, João Pessoa - PB",joao-pessoa,65,2 Quartos,2 Banheiros,1 Vaga,Varanda,R$ 900 /mês,,2022-06-23 21:32
5445,"Tambauzinho, João Pessoa - PB",joao-pessoa,100,,,,None,None,,2022-06-23 21:32
5446,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5447,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5448,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5449,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5450,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5451,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5452,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5453,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5454,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5455,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5456,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5457,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5458,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5459,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5460,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5461,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5462,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5463,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5464,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5465,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5466,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5467,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5468,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5469,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5470,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5471,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5472,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5473,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5474,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5475,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5476,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5477,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5478,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5479,"Tambauzinho, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5480,"Brisamar, João Pessoa - PB",joao-pessoa,319,3 Quartos,1 Banheiro,2 Vagas,Piscina Churrasqueira Elevador Área_de_serviço Quadra_poliesportiva ...,R$ 6.000 /mês,R$ 1.500,2022-06-23 21:32
5481,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5482,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5483,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5484,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5485,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5486,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5487,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5488,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5489,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5490,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5491,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5492,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5493,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5494,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5495,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5496,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5497,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5498,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5499,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5500,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5501,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5502,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5503,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5504,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5505,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5506,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5507,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5508,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5509,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5510,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5511,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5512,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5513,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5514,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5515,"Brisamar, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5516,"Jardim Cidade Universitária, João Pessoa - PB",joao-pessoa,60,2 Quartos,2 Banheiros,1 Vaga,None,R$ 1.550 /mês,R$ 200,2022-06-23 21:32
5517,"Manaíra, João Pessoa - PB",joao-pessoa,245,4 Quartos,1 Banheiro,2 Vagas,Piscina Elevador Ar-condicionado Área_de_serviço Varanda_gourmet ...,R$ 4.100 /mês,,2022-06-23 21:32
5518,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,335,,,,None,None,,2022-06-23 21:32
5519,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5520,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5521,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5522,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5523,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5524,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5525,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5526,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5527,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5528,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5529,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5530,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5531,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5532,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5533,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5534,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5535,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5536,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5537,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5538,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5539,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5540,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5541,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5542,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5543,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5544,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5545,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5546,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5547,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5548,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5549,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5550,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5551,"Altiplano Cabo Branco, João Pessoa - PB",joao-pessoa,,,,,None,None,,2022-06-23 21:32
5552,"Estrada das Ubáias, 200 - Casa Forte, Recife - PE",recife,60,2 Quartos,2 Banheiros,1 Vaga,Piscina Elevador Condomínio_fechado Academia Aceita_animais ...,R$ 2.900 /mês,,2022-06-23 21:32
5553,"Rua Real da Torre, 337 - Madalena, Recife - PE",recife,34,1 Quarto,1 Banheiro,1 Vaga,Piscina Mobiliado Churrasqueira Condomínio_fechado Academia ...,R$ 2.500 /mês,,2022-06-23 21:32
5554,"Rua Olívia Menelau, 407 - Imbiribeira, Recife - PE",recife,108,3 Quartos,3 Banheiros,1 Vaga,Bicicletário Portão_eletrônico,R$ 1.950 /mês,,2022-06-23 21:32
5555,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,100,3 Quartos,2 Banheiros,1 Vaga,Piscina Elevador Condomínio_fechado Aceita_animais Salão_de_festas ...,R$ 2.000 /mês,R$ 800,2022-06-23 21:32
5556,"Rua Tomé Gibson, 146 - Pina, Recife - PE",recife,54,2 Quartos,2 Banheiros,1 Vaga,Piscina Churrasqueira Condomínio_fechado Academia Espaço_gourmet ...,R$ 2.700 /mês,,2022-06-23 21:32
5557,"Rua Visconde de Jequitinhonha - Boa Viagem, Recife - PE",recife,150,4 Quartos,4 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Varanda ...,R$ 3.500 /mês,R$ 1.300,2022-06-23 21:32
5558,"Rua Francisco da Cunha, 1810 - Boa Viagem, Recife - PE",recife,154,4 Quartos,4 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 5.500 /mês,R$ 1.054,2022-06-23 21:32
5559,"Rua Guilherme Pinto, 345 - Graças, Recife - PE",recife,82,3 Quartos,2 Banheiros,1 Vaga,Aceita_animais Portaria_24h,R$ 1.400 /mês,R$ 650,2022-06-23 21:32
5560,"Rua Teixeira Pinto, 38 - Graças, Recife - PE",recife,92,3 Quartos,3 Banheiros,1 Vaga,Ar-condicionado Closet,R$ 3.250 /mês,,2022-06-23 21:32
5561,"Rua Amapá, 70 - Aflitos, Recife - PE",recife,113,3 Quartos,2 Banheiros,1 Vaga,Elevador Portaria_24h,R$ 595.000 /mês,,2022-06-23 21:32
5562,"Rua Aviador Severiano Lins - Boa Viagem, Recife - PE",recife,57,2 Quartos,2 Banheiros,1 Vaga,Piscina Mobiliado Churrasqueira Elevador Varanda ...,R$ 2.500 /mês,R$ 512,2022-06-23 21:32
5563,"Rua da Amizade, 223 - Graças, Recife - PE",recife,80,2 Quartos,2 Banheiros,1 Vaga,Elevador Condomínio_fechado Aceita_animais Jardim Salão_de_festas ...,R$ 1.590 /mês,R$ 900,2022-06-23 21:32
5564,"Rua Hipólito Braga, 145 - Rosarinho, Recife - PE",recife,90,3 Quartos,3 Banheiros,2 Vagas,Churrasqueira Elevador Condomínio_fechado Aceita_animais Espaço_gourmet ...,R$ 3.990 /mês,R$ 650,2022-06-23 21:32
5565,"Boa Vista, Recife - PE",recife,100,3 Quartos,1 Banheiro,-- Vaga,Cozinha_americana Elevador Portaria_24h,R$ 1.950 /mês,,2022-06-23 21:32
5566,"Rua Quarenta e Oito, 117 - Espinheiro, Recife - PE",recife,55,2 Quartos,1 Banheiro,1 Vaga,Piscina Mobiliado Churrasqueira Elevador Condomínio_fechado ...,R$ 2.790 /mês,R$ 500,2022-06-23 21:32
5567,"Boa Viagem, Recife - PE",recife,37,1 Quarto,1 Banheiro,1 Vaga,Piscina Mobiliado Academia Ar-condicionado Portaria_24h ...,R$ 4.800 /mês,,2022-06-23 21:32
5568,"Rua Quarenta e Oito, 117 - Espinheiro, Recife - PE",recife,35,1 Quarto,1 Banheiro,1 Vaga,Piscina Mobiliado Churrasqueira Elevador Condomínio_fechado ...,R$ 2.100 /mês,R$ 315,2022-06-23 21:32
5569,"Rua Aristides Muniz, 65 - Boa Viagem, Recife - PE",recife,30,1 Quarto,1 Banheiro,1 Vaga,Piscina Mobiliado Elevador Condomínio_fechado Aceita_animais ...,R$ 1.690 /mês,R$ 510,2022-06-23 21:32
5570,"Avenida Boa Viagem, 3650 - Boa Viagem, Recife - PE",recife,235,4 Quartos,5 Banheiros,3 Vagas,Piscina Elevador Condomínio_fechado Academia Jardim ...,R$ 11.000 /mês,R$ 2.300,2022-06-23 21:32
5571,"Avenida Fernando Simões Barbosa, 646 - Boa Viagem, Recife - PE",recife,115,3 Quartos,3 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Área_de_serviço Interfone ...,R$ 2.500 /mês,R$ 875,2022-06-23 21:32
5572,"Rua José de Alencar, 493 - Boa Vista, Recife - PE",recife,35,1 Quarto,1 Banheiro,1 Vaga,Elevador Condomínio_fechado Portaria_24h Aceita_animais Cozinha_americana,R$ 700 /mês,R$ 400,2022-06-23 21:32
5573,"Rua Alameda das Hortências, 101 - Imbiribeira, Recife - PE",recife,47,2 Quartos,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Condomínio_fechado Varanda ...,R$ 1.700 /mês,,2022-06-23 21:32
5574,"Rua Dhália, 74 - Boa Viagem, Recife - PE",recife,152,3 Quartos,2 Banheiros,3 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Varanda ...,R$ 3.600 /mês,R$ 1.100,2022-06-23 21:32
5575,"Rua Manuel de Carvalho, 226 - Aflitos, Recife - PE",recife,114,3 Quartos,3 Banheiros,1 Vaga,Elevador Condomínio_fechado Varanda Aceita_animais Área_de_serviço ...,R$ 2.800 /mês,R$ 1,2022-06-23 21:32
5576,"Rua Carlos Pereira Falcão, 743 - Boa Viagem, Recife - PE",recife,93,2 Quartos,3 Banheiros,1 Vaga,Portaria_24h,R$ 2.650 /mês,,2022-06-23 21:32
5577,"Rua Baltazar Passos, 332 - Boa Viagem, Recife - PE",recife,130,3 Quartos,2 Banheiros,1 Vaga,Condomínio_fechado Ar-condicionado Jardim Elevador Aceita_animais,R$ 3.500 /mês,,2022-06-23 21:32
5578,"Rua Professor João Medeiros, 533 - Boa Viagem, Recife - PE",recife,70,2 Quartos,2 Banheiros,1 Vaga,Elevador Varanda Ar-condicionado Área_de_serviço Cozinha ...,R$ 1.150 /mês,R$ 586,2022-06-23 21:32
5579,"Avenida Boa Viagem, 3650 - Boa Viagem, Recife - PE",recife,232,4 Quartos,6 Banheiros,3 Vagas,Piscina Churrasqueira Elevador Ar-condicionado Área_de_serviço ...,R$ 11.000 /mês,R$ 2.300,2022-06-23 21:32
5580,"Rua Othon Paraíso, 211 - Torreão, Recife - PE",recife,64,3 Quartos,1 Banheiro,1 Vaga,Piscina Mobiliado Elevador Condomínio_fechado Academia ...,R$ 3.000 /mês,,2022-06-23 21:32
5581,"Avenida Boa Viagem, 6166 - Boa Viagem, Recife - PE",recife,195,4 Quartos,4 Banheiros,3 Vagas,Piscina Churrasqueira Elevador Condomínio_fechado Academia ...,R$ 9.000 /mês,,2022-06-23 21:32
5582,"Rua Jornalista Trajano Chacon, 205 - Ilha do Leite, Recife - PE",recife,33,1 Quarto,1 Banheiro,1 Vaga,Piscina Mobiliado Elevador Condomínio_fechado Academia ...,R$ 2.500 /mês,,2022-06-23 21:32
5583,"Avenida Engenheiro Alves de Souza, 740 - Imbiribeira, Recife - PE",recife,55,2 Quartos,2 Banheiros,1 Vaga,Piscina Elevador Condomínio_fechado Aceita_animais Salão_de_festas ...,R$ 2.100 /mês,,2022-06-23 21:32
5584,"Rua Bartolomeu de Gusmão, 186 - Madalena, Recife - PE",recife,55,2 Quartos,2 Banheiros,1 Vaga,Piscina Condomínio_fechado Academia Aceita_animais Jardim ...,R$ 2.400 /mês,,2022-06-23 21:32
5585,"Rua Ministro Nelson Hungria - Boa Viagem, Recife - PE",recife,33,1 Quarto,1 Banheiro,1 Vaga,Piscina Mobiliado Elevador Condomínio_fechado Ar-condicionado ...,R$ 2.000 /mês,,2022-06-23 21:32
5586,"Rua Francisco da Cunha, 1747 - Boa Viagem, Recife - PE",recife,98,3 Quartos,3 Banheiros,2 Vagas,Piscina Churrasqueira Jardim Área_de_serviço Cozinha ...,R$ 3.364 /mês,,2022-06-23 21:32
5587,"Rua Ribeiro de Brito - Boa Viagem, Recife - PE",recife,28,1 Quarto,1 Banheiro,1 Vaga,Piscina Mobiliado Elevador Condomínio_fechado Aceita_animais ...,R$ 1.900 /mês,,2022-06-23 21:32
5588,"Estrada das Ubáias, 200 - Casa Forte, Recife - PE",recife,60,2 Quartos,2 Banheiros,1 Vaga,Piscina Elevador Condomínio_fechado Academia Aceita_animais ...,R$ 2.900 /mês,,2022-06-23 21:32
5589,"Rua Real da Torre, 337 - Madalena, Recife - PE",recife,34,1 Quarto,1 Banheiro,1 Vaga,Piscina Mobiliado Churrasqueira Condomínio_fechado Academia ...,R$ 2.500 /mês,,2022-06-23 21:32
5590,"Rua Olívia Menelau, 407 - Imbiribeira, Recife - PE",recife,108,3 Quartos,3 Banheiros,1 Vaga,Bicicletário Portão_eletrônico,R$ 1.950 /mês,,2022-06-23 21:32
5591,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,100,,,,None,None,,2022-06-23 21:32
5592,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:32
5593,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:32
5594,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:32
5595,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:32
5596,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:32
5597,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:32
5598,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:32
5599,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5600,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5601,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5602,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5603,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5604,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5605,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5606,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5607,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5608,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5609,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5610,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5611,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5612,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5613,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
5614,"Rua Félix de Brito Melo, 912 - Boa Viagem, Recife - PE",recife,,,,,None,None,,2022-06-23 21:33
